"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 09 03:12:45 UTC 2022","Fri Dec 09 03:12:51 UTC 2022","6298","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify Shipment details Sensor chart Min/Max chart values hyperlink functionality","Verify Shipment details Sensor chart Min/Max chart values hyperlink functionality",""
"passed","Fri Dec 09 03:58:55 UTC 2022","Fri Dec 09 03:58:55 UTC 2022","657","","Timeline","","Timeline","Click on Origin","Click on Origin",""
"passed","Fri Dec 09 03:07:56 UTC 2022","Fri Dec 09 03:08:27 UTC 2022","31410","","Verify Push Functionality","","Verify Push Functionality","Verify Push Functionality on primary DB","Verify Push Functionality on primary DB",""
"failed","Fri Dec 09 03:10:51 UTC 2022","Fri Dec 09 03:10:52 UTC 2022","676","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify Close Form Function","Verify Close Form Function",""
"passed","Fri Dec 09 03:11:18 UTC 2022","Fri Dec 09 03:11:19 UTC 2022","820","","Create Shipment Scenarios Additional Assertion Part","","Create Shipment Scenarios Additional Assertion Part","Verify Create Shipment Button on header and click","Verify Create Shipment Button on header and click",""
"passed","Fri Dec 09 03:08:57 UTC 2022","Fri Dec 09 03:09:03 UTC 2022","5843","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","Verify ""Primary DB""Create Shipment Button on header and click","Verify ""Primary DB""Create Shipment Button on header and click",""
"failed","Fri Dec 09 03:05:25 UTC 2022","Fri Dec 09 03:05:25 UTC 2022","169","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify In Progress Shipment Details Edit Function","Verify In Progress Shipment Details Edit Function",""
"passed","Fri Dec 09 03:09:03 UTC 2022","Fri Dec 09 03:09:31 UTC 2022","28098","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","Verify Select Customer In Share With Drop Down under ""Primary DB""","Verify Select Customer In Share With Drop Down under ""Primary DB""",""
"failed","Fri Dec 09 03:15:33 UTC 2022","Fri Dec 09 03:15:33 UTC 2022","172","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify Shipment Created Successfully","Verify Shipment Created Successfully",""
"failed","Fri Dec 09 03:12:51 UTC 2022","Fri Dec 09 03:12:57 UTC 2022","6298","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify Set Manually Sensor chart Min/Max chart values hyperlink functionality ","Verify Set Manually Sensor chart Min/Max chart values hyperlink functionality ",""
"passed","Fri Dec 09 03:05:36 UTC 2022","Fri Dec 09 03:05:43 UTC 2022","6778","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify Add New Stop For Edit Shipment With Add Location","Verify Add New Stop For Edit Shipment With Add Location",""
"failed","Fri Dec 09 03:17:05 UTC 2022","Fri Dec 09 03:17:08 UTC 2022","2860","","Timeline","","Timeline","Verify shipment details ""Timeline"" Tab with Completed Status","Verify shipment details ""Timeline"" Tab with Completed Status",""
"failed","Fri Dec 09 03:08:27 UTC 2022","Fri Dec 09 03:08:27 UTC 2022","183","","Verify Push Functionality","","Verify Push Functionality","Verify Change Customer Function to ""Oversight DB""","Verify Change Customer Function to ""Oversight DB""",""
"passed","Fri Dec 09 03:10:04 UTC 2022","Fri Dec 09 03:10:12 UTC 2022","8812","","Verify Close Shipment Functionality","","Verify Close Shipment Functionality","Verify Quick Search For Close Function","Verify Quick Search For Close Function",""
"failed","Fri Dec 09 03:12:19 UTC 2022","Fri Dec 09 03:12:26 UTC 2022","6326","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify shipment details Sensor chart  Tab ‘Scheduled start and end date duration graph","Verify shipment details Sensor chart  Tab ‘Scheduled start and end date duration graph",""
"failed","Fri Dec 09 03:10:45 UTC 2022","Fri Dec 09 03:10:47 UTC 2022","1233","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify shipment details ‘Timeline’ Tab with Another Shipment Associated With The Same Tracker Using Shipments Dropdown_Completed Status Shipments For Multi Trip Tracker","Verify shipment details ‘Timeline’ Tab with Another Shipment Associated With The Same Tracker Using Shipments Dropdown_Completed Status Shipments For Multi Trip Tracker",""
