"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 04:15:16 UTC 2022","Fri Dec 02 04:15:16 UTC 2022","296","","Validate Create Shipment Page","","Validate Create Shipment Page","Verify co2 sensor range validation message is displayed","Verify co2 sensor range validation message is displayed",""
"passed","Fri Dec 02 04:34:25 UTC 2022","Fri Dec 02 04:34:26 UTC 2022","834","","Show Route","","Show Route","Verify hybrid view with tracker details is displayed","Verify hybrid view with tracker details is displayed",""
"passed","Fri Dec 02 04:03:16 UTC 2022","Fri Dec 02 04:03:17 UTC 2022","357","","Verify Filters under list view","","Verify Filters under list view","Verify Exceptions column checkbox field is unchecked","Verify Exceptions column checkbox field is unchecked",""
"passed","Fri Dec 02 04:13:57 UTC 2022","Fri Dec 02 04:14:01 UTC 2022","4547","","Management","","Management","Verify Add Stop Button To Be Displayed And Select Stop For Multiple Stops","Verify Add Stop Button To Be Displayed And Select Stop For Multiple Stops",""
"passed","Fri Dec 02 04:24:55 UTC 2022","Fri Dec 02 04:24:58 UTC 2022","2628","","List Shipments - View","","List Shipments - View","Verify shipment status Column","Verify shipment status Column",""
"passed","Fri Dec 02 04:29:59 UTC 2022","Fri Dec 02 04:30:00 UTC 2022","967","","Schedule Reports","","Schedule Reports","Verify close functionality on email report","Verify close functionality on email report",""
"passed","Fri Dec 02 04:29:34 UTC 2022","Fri Dec 02 04:29:34 UTC 2022","249","","Schedule Reports","","Schedule Reports","Verify Schedule report grid column","Verify Schedule report grid column",""
"passed","Fri Dec 02 04:15:53 UTC 2022","Fri Dec 02 04:15:56 UTC 2022","2813","","Validate Create Shipment Page","","Validate Create Shipment Page","Verify Add New Stop With Air Fright Selection and Location Save Data With Valid Credentials","Verify Add New Stop With Air Fright Selection and Location Save Data With Valid Credentials",""
"passed","Fri Dec 02 04:13:35 UTC 2022","Fri Dec 02 04:13:42 UTC 2022","7312","","Management","","Management","Verify After Click Delete Button User Able to Click On Yes","Verify After Click Delete Button User Able to Click On Yes",""
"passed","Fri Dec 02 04:25:04 UTC 2022","Fri Dec 02 04:25:05 UTC 2022","800","","List Shipments - View","","List Shipments - View","Verify the Columns in the ""List View"" adding origin and destination table","Verify the Columns in the ""List View"" adding origin and destination table",""
"passed","Fri Dec 02 04:16:57 UTC 2022","Fri Dec 02 04:16:57 UTC 2022","403","","Track Your Shipment - Authorized User","","Track Your Shipment - Authorized User","Verify hybrid view button should be displayed","Verify hybrid view button should be displayed",""
"passed","Fri Dec 02 04:03:15 UTC 2022","Fri Dec 02 04:03:15 UTC 2022","327","","Verify Filters under list view","","Verify Filters under list view","Verify default status and click on [shipment status] field","Verify default status and click on [shipment status] field",""
"passed","Fri Dec 02 04:29:34 UTC 2022","Fri Dec 02 04:29:40 UTC 2022","5216","","Schedule Reports","","Schedule Reports","Verify Edit template for trip end summary","Verify Edit template for trip end summary",""
"passed","Fri Dec 02 04:12:33 UTC 2022","Fri Dec 02 04:12:36 UTC 2022","3194","","Management","","Management","Verify Edit Template for newly created Template","Verify Edit Template for newly created Template",""
"passed","Fri Dec 02 04:34:48 UTC 2022","Fri Dec 02 04:34:48 UTC 2022","272","","Manage Customer Dashboard","","Manage Customer Dashboard","Verify default selection of the dropdown field","Verify default selection of the dropdown field",""
"passed","Fri Dec 02 04:18:29 UTC 2022","Fri Dec 02 04:18:43 UTC 2022","13974","","Locale Navigation - China","","Locale Navigation - China","Navigate to China locale on staging and verify url","Navigate to China locale on staging and verify url",""
"passed","Fri Dec 02 04:10:21 UTC 2022","Fri Dec 02 04:10:24 UTC 2022","2439","","Management","","Management","Verify CO2 dropdown on shipment template screen1","Verify CO2 dropdown on shipment template screen1",""
"passed","Fri Dec 02 04:56:27 UTC 2022","Fri Dec 02 04:56:27 UTC 2022","140","","Shipment Details - Left Pane","","Shipment Details - Left Pane","Verify Shutdown button for user without Shutdown role/LocusAdmin Role for Single trip tracker with any status","Verify Shutdown button for user without Shutdown role/LocusAdmin Role for Single trip tracker with any status",""
"failed","Fri Dec 02 04:20:36 UTC 2022","Fri Dec 02 04:20:36 UTC 2022","140","","Historical Shipments","","Historical Shipments","Verify pagination for tracker with Activated not Assigned status for toatl page per book","Verify pagination for tracker with Activated not Assigned status for toatl page per book",""
"failed","Fri Dec 02 04:21:20 UTC 2022","Fri Dec 02 04:21:25 UTC 2022","4878","","Historical Search","","Historical Search","Verify Activated not assigned status should be populated in the grid","Verify Activated not assigned status should be populated in the grid",""
"passed","Fri Dec 02 04:15:00 UTC 2022","Fri Dec 02 04:15:05 UTC 2022","4948","","Validate Create Shipment Page","","Validate Create Shipment Page","Verify Add New Temperature sensor Range With Valid Data Passing","Verify Add New Temperature sensor Range With Valid Data Passing",""
"passed","Fri Dec 02 04:11:01 UTC 2022","Fri Dec 02 04:11:15 UTC 2022","14452","","Management","","Management","Verify Add Location screen After Sending Valid Inputs","Verify Add Location screen After Sending Valid Inputs",""
"passed","Fri Dec 02 04:16:49 UTC 2022","Fri Dec 02 04:16:50 UTC 2022","431","","Track Your Shipment - Authorized User","","Track Your Shipment - Authorized User","Verify validation message should be displayed, when user enters invalid data","Verify validation message should be displayed, when user enters invalid data",""
"passed","Fri Dec 02 04:19:39 UTC 2022","Fri Dec 02 04:19:39 UTC 2022","96","","Live Chat - Authorized","","Live Chat - Authorized","Verify User waits for customer list page and Live Chat button to appear","Verify User waits for customer list page and Live Chat button to appear",""
"passed","Fri Dec 02 04:18:07 UTC 2022","Fri Dec 02 04:18:13 UTC 2022","6405","","Locale Navigation","","Locale Navigation","Verify the cookie is ja when ""Japanese"" is clicked and Japanese tokens are displayed","Verify the cookie is ja when ""Japanese"" is clicked and Japanese tokens are displayed",""
"passed","Fri Dec 02 04:20:36 UTC 2022","Fri Dec 02 04:20:36 UTC 2022","169","","Historical Shipments","","Historical Shipments","Verify pagination for tracker with Activated not Assigned status for page","Verify pagination for tracker with Activated not Assigned status for page",""
"passed","Fri Dec 02 04:24:34 UTC 2022","Fri Dec 02 04:24:37 UTC 2022","2597","","List Shipments - View","","List Shipments - View","Verify Shipment Name Column","Verify Shipment Name Column",""
"passed","Fri Dec 02 04:34:52 UTC 2022","Fri Dec 02 04:34:52 UTC 2022","156","","Manage Customer Dashboard","","Manage Customer Dashboard","Verify total records value is displayed","Verify total records value is displayed",""
"passed","Fri Dec 02 04:21:25 UTC 2022","Fri Dec 02 04:21:32 UTC 2022","7392","","Historical Search","","Historical Search","Verify in Progress status should be populated in the grid","Verify in Progress status should be populated in the grid",""
"passed","Fri Dec 02 04:10:33 UTC 2022","Fri Dec 02 04:10:36 UTC 2022","2423","","Management","","Management","Verify Create New Sensor Range functionality for CO2 on shipment template screen With New Data Search","Verify Create New Sensor Range functionality for CO2 on shipment template screen With New Data Search",""
"failed","Fri Dec 02 04:56:22 UTC 2022","Fri Dec 02 04:56:26 UTC 2022","3494","","Shipment Details - Left Pane","","Shipment Details - Left Pane","Verify Close button for Single trip tracker  with status Activated not Assigned","Verify Close button for Single trip tracker  with status Activated not Assigned",""
"passed","Fri Dec 02 04:13:22 UTC 2022","Fri Dec 02 04:13:30 UTC 2022","7475","","Management","","Management","Verify Delete Button Displayed and Enabled After Changes In Data","Verify Delete Button Displayed and Enabled After Changes In Data",""
"passed","Fri Dec 02 04:08:08 UTC 2022","Fri Dec 02 04:08:19 UTC 2022","10944","","Management","","Management"," Verify New Contact By Sending Blank Data"," Verify New Contact By Sending Blank Data",""
"passed","Fri Dec 02 04:22:17 UTC 2022","Fri Dec 02 04:22:21 UTC 2022","4572","","Historical - Additional Filters","","Historical - Additional Filters","Verify Exceptions column content should be displayed","Verify Exceptions column content should be displayed",""
"passed","Fri Dec 02 04:25:08 UTC 2022","Fri Dec 02 04:25:09 UTC 2022","520","","List Shipments - View","","List Shipments - View","Verify the original Columns in the ""List View"" table","Verify the original Columns in the ""List View"" table",""
"passed","Fri Dec 02 04:13:50 UTC 2022","Fri Dec 02 04:13:57 UTC 2022","6967","","Management","","Management","Verify Add Stop Button To Be Displayed For Multiple Stops","Verify Add Stop Button To Be Displayed For Multiple Stops",""
"passed","Fri Dec 02 04:23:29 UTC 2022","Fri Dec 02 04:23:30 UTC 2022","911","","Split details","","Split details","Verify Details dropdown options for tracker with Completed status for MT tracker","Verify Details dropdown options for tracker with Completed status for MT tracker",""
"passed","Fri Dec 02 04:25:09 UTC 2022","Fri Dec 02 04:25:12 UTC 2022","3780","","List Shipments - View","","List Shipments - View","Verify no record should be displayed below the search field","Verify no record should be displayed below the search field",""
"failed","Fri Dec 02 04:27:32 UTC 2022","Fri Dec 02 04:27:32 UTC 2022","314","","Sign In And Customer Selection","","Sign In And Customer Selection","Verify [Confirm Password] error message under change password when password donot match","Verify [Confirm Password] error message under change password when password donot match",""
"passed","Fri Dec 02 04:11:15 UTC 2022","Fri Dec 02 04:11:17 UTC 2022","1643","","Management","","Management","Verify Create a new location from Add Location page","Verify Create a new location from Add Location page",""
"passed","Fri Dec 02 04:09:15 UTC 2022","Fri Dec 02 04:09:15 UTC 2022","157","","Management","","Management","Verify Add Stop Button For Saving No Data","Verify Add Stop Button For Saving No Data",""
"passed","Fri Dec 02 04:18:02 UTC 2022","Fri Dec 02 04:18:07 UTC 2022","5236","","Locale Navigation","","Locale Navigation","Verify the cookie is pl when ""Polish"" is clicked and Polish tokens are displayed","Verify the cookie is pl when ""Polish"" is clicked and Polish tokens are displayed",""
"passed","Fri Dec 02 04:08:19 UTC 2022","Fri Dec 02 04:08:29 UTC 2022","10555","","Management","","Management"," Verify New Contact "," Verify New Contact ",""
"passed","Fri Dec 02 04:25:19 UTC 2022","Fri Dec 02 04:25:22 UTC 2022","2265","","List Shipments - View","","List Shipments - View","Verify desending Sorting order icon, on clicking of column headers","Verify desending Sorting order icon, on clicking of column headers",""
"passed","Fri Dec 02 04:18:19 UTC 2022","Fri Dec 02 04:18:20 UTC 2022","626","","Locale Navigation","","Locale Navigation","Verify locale selection map icon is clickable","Verify locale selection map icon is clickable",""
"passed","Fri Dec 02 04:33:04 UTC 2022","Fri Dec 02 04:33:05 UTC 2022","666","","Map View - Scenarios","","Map View - Scenarios","Verify Clustered image is displayed on Map","Verify Clustered image is displayed on Map",""
"passed","Fri Dec 02 04:34:52 UTC 2022","Fri Dec 02 04:34:53 UTC 2022","378","","Manage Customer Dashboard","","Manage Customer Dashboard","Verify Assign Dashboard visibilty criteria","Verify Assign Dashboard visibilty criteria",""
"passed","Fri Dec 02 04:56:50 UTC 2022","Fri Dec 02 04:56:50 UTC 2022","374","","Training Center","","Training Center","Verify ""Training center"" submenu should be displayed","Verify ""Training center"" submenu should be displayed",""
"passed","Fri Dec 02 04:10:45 UTC 2022","Fri Dec 02 04:10:48 UTC 2022","2500","","Management","","Management","Verify Probe Temp dropdown on shipment template screen 1","Verify Probe Temp dropdown on shipment template screen 1",""
"passed","Fri Dec 02 04:18:25 UTC 2022","Fri Dec 02 04:18:29 UTC 2022","4184","","Locale Navigation - China","","Locale Navigation - China","Verify option to navigate site for China Users","Verify option to navigate site for China Users",""
"passed","Fri Dec 02 04:26:42 UTC 2022","Fri Dec 02 04:26:42 UTC 2022","220","","Sign In Scenarios","","Sign In Scenarios","Verify Password Mandatory alert message should be displayed","Verify Password Mandatory alert message should be displayed",""
"passed","Fri Dec 02 04:09:03 UTC 2022","Fri Dec 02 04:09:04 UTC 2022","156","","Management","","Management","Verify Edit Template and Delete Button Present","Verify Edit Template and Delete Button Present",""
"passed","Fri Dec 02 04:32:29 UTC 2022","Fri Dec 02 04:32:31 UTC 2022","2416","","Verify Route Deviation","","Verify Route Deviation","Verify no data available when user search invalid data","Verify no data available when user search invalid data",""
"passed","Fri Dec 02 04:35:24 UTC 2022","Fri Dec 02 04:35:24 UTC 2022","709","","Scoreboards","","Scoreboards","Verify delete functionality","Verify delete functionality",""
"passed","Fri Dec 02 04:17:11 UTC 2022","Fri Dec 02 04:17:15 UTC 2022","4259","","Locale Navigation","","Locale Navigation","Verify the cookie is en when ""English"" is clicked and english tokens are displayed and check URL","Verify the cookie is en when ""English"" is clicked and english tokens are displayed and check URL",""
"passed","Fri Dec 02 04:04:25 UTC 2022","Fri Dec 02 04:04:29 UTC 2022","3874","","Management","","Management","Verify Navigate to Edit Locations Screen","Verify Navigate to Edit Locations Screen",""
"passed","Fri Dec 02 04:33:01 UTC 2022","Fri Dec 02 04:33:01 UTC 2022","208","","Map View - Scenarios","","Map View - Scenarios","Validate current location is displayed, when user clicks on View Current Location","Validate current location is displayed, when user clicks on View Current Location",""
"passed","Fri Dec 02 04:28:05 UTC 2022","Fri Dec 02 04:28:05 UTC 2022","175","","Distribution Center - User role scenarios","","Distribution Center - User role scenarios","Verify shipment fields in tracker","Verify shipment fields in tracker",""
"failed","Fri Dec 02 04:56:26 UTC 2022","Fri Dec 02 04:56:26 UTC 2022","233","","Shipment Details - Left Pane","","Shipment Details - Left Pane","Verify Close button for Single trip tracker  with status Pending","Verify Close button for Single trip tracker  with status Pending",""
"passed","Fri Dec 02 04:30:21 UTC 2022","Fri Dec 02 04:30:41 UTC 2022","20249","","Schedule Reports - Cover Different Report Types","","Schedule Reports - Cover Different Report Types","Verify ""Trip Stop Summary Extended"" Report template","Verify ""Trip Stop Summary Extended"" Report template",""
"passed","Fri Dec 02 04:26:14 UTC 2022","Fri Dec 02 04:26:14 UTC 2022","95","","Track Your Shipment - Unauthorized User","","Track Your Shipment - Unauthorized User","Verify Go number text field should be displayed in text box field","Verify Go number text field should be displayed in text box field",""
"passed","Fri Dec 02 04:10:58 UTC 2022","Fri Dec 02 04:11:01 UTC 2022","2417","","Management","","Management","Verify Add Location Action and Find Validation Displayed Or Not ","Verify Add Location Action and Find Validation Displayed Or Not ",""
