"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 04:28:44 UTC 2022","Tue Oct 11 04:28:45 UTC 2022","339","","List Shipments - View","","List Shipments - View","Verify list view is displayed based on selection of customer","Verify list view is displayed based on selection of customer",""
"passed","Tue Oct 11 04:27:44 UTC 2022","Tue Oct 11 04:27:45 UTC 2022","921","","Split details","","Split details","Verify Activated not Assigned status details Dropdown should be opened with list of options","Verify Activated not Assigned status details Dropdown should be opened with list of options",""
"passed","Tue Oct 11 04:11:24 UTC 2022","Tue Oct 11 04:11:31 UTC 2022","7003","","Management","","Management","Verify Create New Sensor Range PopUp Has All Fields At Right Place","Verify Create New Sensor Range PopUp Has All Fields At Right Place",""
"passed","Tue Oct 11 04:41:19 UTC 2022","Tue Oct 11 04:41:22 UTC 2022","2459","","Manage Customer Dashboard","","Manage Customer Dashboard","Verify delete row of Assigned Dashboard functionality","Verify delete row of Assigned Dashboard functionality",""
"passed","Tue Oct 11 04:06:49 UTC 2022","Tue Oct 11 04:07:11 UTC 2022","22057","","Management","","Management","Verify Create a new location functionality from Add Location page","Verify Create a new location functionality from Add Location page",""
"passed","Tue Oct 11 04:07:31 UTC 2022","Tue Oct 11 04:07:37 UTC 2022","5651","","Management","","Management","Verify Create a new location functionality For Location Selection","Verify Create a new location functionality For Location Selection",""
"passed","Tue Oct 11 04:04:41 UTC 2022","Tue Oct 11 04:04:45 UTC 2022","3468","","Management","","Management","Verify Management Sub Menu present in Hamburger Menu","Verify Management Sub Menu present in Hamburger Menu",""
"passed","Tue Oct 11 04:46:42 UTC 2022","Tue Oct 11 04:46:43 UTC 2022","1239","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify Origin & Destination Location","Verify Origin & Destination Location",""
"passed","Tue Oct 11 04:39:48 UTC 2022","Tue Oct 11 04:39:49 UTC 2022","889","","Show Route","","Show Route","Verify end date error message is displayed","Verify end date error message is displayed",""
"passed","Tue Oct 11 04:38:58 UTC 2022","Tue Oct 11 04:38:58 UTC 2022","365","","Map View - Scenarios","","Map View - Scenarios","Validate clustered icon is displayed","Validate clustered icon is displayed",""
"passed","Tue Oct 11 04:14:52 UTC 2022","Tue Oct 11 04:14:56 UTC 2022","4238","","Management","","Management","Verify Back to Main Menu Link Working or Not","Verify Back to Main Menu Link Working or Not",""
"passed","Tue Oct 11 04:39:38 UTC 2022","Tue Oct 11 04:39:38 UTC 2022","372","","Show Route","","Show Route","Verify ""start Time"" day is prepopulated based on the shipment details of the tracker","Verify ""start Time"" day is prepopulated based on the shipment details of the tracker",""
"passed","Tue Oct 11 04:11:49 UTC 2022","Tue Oct 11 04:11:49 UTC 2022","288","","Management","","Management","Verify Create New Sensor Range functionality for CO2 on shipment template screen mandatory fields","Verify Create New Sensor Range functionality for CO2 on shipment template screen mandatory fields",""
"passed","Tue Oct 11 04:45:17 UTC 2022","Tue Oct 11 04:45:45 UTC 2022","27528","","Hamburger Menu - Links Navigation","","Hamburger Menu - Links Navigation","Verify Import Locations Screen And Upload File","Verify Import Locations Screen And Upload File",""
"passed","Tue Oct 11 04:29:14 UTC 2022","Tue Oct 11 04:29:17 UTC 2022","3024","","List Shipments - View","","List Shipments - View","Verify Actual End Time Column","Verify Actual End Time Column",""
"failed","Tue Oct 11 04:24:56 UTC 2022","Tue Oct 11 04:24:56 UTC 2022","261","","Historical Shipments","","Historical Shipments","Verify pagination for tracker with Activated not Assigned status for toatl page per book","Verify pagination for tracker with Activated not Assigned status for toatl page per book",""
"passed","Tue Oct 11 04:44:00 UTC 2022","Tue Oct 11 04:44:09 UTC 2022","8629","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify Add New Stop Using Air Fright Menu","Verify Add New Stop Using Air Fright Menu",""
"passed","Tue Oct 11 04:18:13 UTC 2022","Tue Oct 11 04:18:19 UTC 2022","5482","","Locale Navigation","","Locale Navigation","Verify user is able to switch language from hamburger menu","Verify user is able to switch language from hamburger menu",""
"failed","Tue Oct 11 04:12:21 UTC 2022","Tue Oct 11 04:12:21 UTC 2022","234","","Management","","Management","Verify Add Location screen After Sending Valid Inputs","Verify Add Location screen After Sending Valid Inputs",""
"passed","Tue Oct 11 04:32:34 UTC 2022","Tue Oct 11 04:32:38 UTC 2022","3501","","Distribution Center - User role scenarios","","Distribution Center - User role scenarios","Verify validation message under serial number by submit button, when user enter invalid data","Verify validation message under serial number by submit button, when user enter invalid data",""
"passed","Tue Oct 11 04:38:01 UTC 2022","Tue Oct 11 04:38:01 UTC 2022","538","","Verify Route Deviation","","Verify Route Deviation","Verify Route Deviation Sub Menu present in Hamburger Menu","Verify Route Deviation Sub Menu present in Hamburger Menu",""
"passed","Tue Oct 11 04:33:40 UTC 2022","Tue Oct 11 04:33:43 UTC 2022","3651","","Schedule Reports","","Schedule Reports","Verify schedule report functionality with blank data","Verify schedule report functionality with blank data",""
"passed","Tue Oct 11 04:11:56 UTC 2022","Tue Oct 11 04:11:59 UTC 2022","2795","","Management","","Management","Verify Create New Sensor Range functionality for CO2 on shipment template screen With New Data Search","Verify Create New Sensor Range functionality for CO2 on shipment template screen With New Data Search",""
"passed","Tue Oct 11 04:41:37 UTC 2022","Tue Oct 11 04:41:37 UTC 2022","206","","Scoreboards","","Scoreboards","Verify List should be displayed based on the inputs","Verify List should be displayed based on the inputs",""
"passed","Tue Oct 11 04:33:43 UTC 2022","Tue Oct 11 04:33:44 UTC 2022","733","","Schedule Reports","","Schedule Reports","Verify time period dropdown label","Verify time period dropdown label",""
"passed","Tue Oct 11 04:16:39 UTC 2022","Tue Oct 11 04:16:43 UTC 2022","3281","","Track Your Shipment - Authorized User","","Track Your Shipment - Authorized User","Verify Multiple tracker is displayed in hybrid view, when user click on GO button","Verify Multiple tracker is displayed in hybrid view, when user click on GO button",""
"passed","Tue Oct 11 04:03:39 UTC 2022","Tue Oct 11 04:03:43 UTC 2022","3979","","Verify Filters under list view","","Verify Filters under list view","Verify [Save as default] button should be disabled in state and displayed","Verify [Save as default] button should be disabled in state and displayed",""
"passed","Tue Oct 11 04:46:45 UTC 2022","Tue Oct 11 04:46:47 UTC 2022","1058","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify Reset Function","Verify Reset Function",""
"passed","Tue Oct 11 04:12:35 UTC 2022","Tue Oct 11 04:12:39 UTC 2022","4130","","Management","","Management","Verify Carrier Email(s) fields With Multiple Data(Valid)","Verify Carrier Email(s) fields With Multiple Data(Valid)",""
"passed","Tue Oct 11 04:46:26 UTC 2022","Tue Oct 11 04:46:42 UTC 2022","15634","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify Serial No Field And And Select Serial No For Shipment And Select Serial From DropDown Menu","Verify Serial No Field And And Select Serial No For Shipment And Select Serial From DropDown Menu",""
"passed","Tue Oct 11 04:39:42 UTC 2022","Tue Oct 11 04:39:43 UTC 2022","1104","","Show Route","","Show Route","Verify Tracker Alert is displayed, when user uncheck the ""Display Alerts"" checkbox","Verify Tracker Alert is displayed, when user uncheck the ""Display Alerts"" checkbox",""
